id,severity,surface,title,status,reproduction,expected,actual,user_impact,recommended_repair,closure_evidence,screenshot
P0-001,P0,Canvas,"Paid image confirmation contradicts requested ratio",Open,"Request 4:5 image and wait for confirmation","Unsupported ratio is blocked before a paid card; all displayed values match one validated job payload","Otto prose says 4:5 while card says 2304x1728 4:3 and Generate is available","User may spend credits on the wrong deliverable","Render confirmation only from server-validated paid-job payload; fail closed on unsupported ratio","Acceptance test proves 4:5 yields no paid card, then 3:4 narrative/card/payload match","03-canvas-confirmation-ratio-mismatch.png"
P0-002,P0,Canvas,"Video starts before alternative-path decision is resolved",Open,"Approve 14-credit video card","All clarifications finish before approval; after approval only status is shown","Job starts, then Otto asks single-step versus safer two-step","Consent occurs before the real plan is settled","Use explicit clarification/confirmation/approved/queued/running states and prevent post-start planning questions","A/B choice appears before Generate; one approval produces one reservation and direct queued state","13-video-started-while-otto-asks-choice.png"
P1-003,P1,Reference picker,"Official Avatar library and @ picker are absent",Open,"Type @ in Canvas or open Add context","Shared typed picker opens with Products, Characters, Official avatars, Locations, Clothes and Media","No @ menu; Add context exposes upload and old media Library only","Approved official-avatar journey cannot be completed","Connect frozen reference-picker contract and read-only Official Avatar collection","Select @Alya by keyboard, confirm immutable ID, prevent edit/delete, generate with it","08-at-reference-picker-absent.png"
P1-004,P1,Canvas,"Paid video confirmation hides actor reference",Open,"Attach product and actor-like media; request video","Confirmation lists every reference in actual job payload","Composer has two references, card visibly lists only product","User cannot verify inputs to a 14-credit job","Render chips from exact job referenceIds and disable Generate on mismatch","Two-reference job always shows two chips and re-quotes when one is removed","12-video-confirmation-drops-actor-reference.png"
P1-005,P1,Canvas,"Conversation history omits latest video turn",Open,"Generate image then video, expand history, reload","Ordered prompt/confirmation/approval/job/result events persist","History stops at image result while video node exists","User cannot audit or safely resume work","Persist one ordered conversation event stream and derive count from it","Hard refresh and sign-in recovery show complete image and video history","21-conversation-history-missing-latest-video-turn.png"
P1-006,P1,Library,"Library uses retired taxonomy",Open,"Open /library","Generations, Uploads, Favorites, Collections and Elements with typed subcategories","All, Images, Videos, Cast, Product assets and Ads","Asset model cannot support reusable typed references","Adopt frozen Library IA on production routes and shared asset model","Every frozen section is route-backed, keyboard reachable and used by picker","09-library-production-drift.png"
P1-007,P1,Library,"Asset detail lacks origin and reference provenance",Open,"Open generated video detail","Deep-link shows origin Canvas/chat, references, cost, status, usage and collections","URL stays /library; engine prompt/references not reported","Generated assets cannot be trusted or traced","Route-back selection and expose full lineage plus trash/restore semantics","Copied deep link restores detail and navigates to origin Canvas with two refs and 14-credit cost","10-library-asset-detail-old-contract.png"
P1-008,P1,Brand,"Brand is retired Brand memory IA",Open,"Open /brand","Brand voice, Audiences, Knowledge base, Style guide, Visual guidelines","About brand, Look and feel, customers, products, offers, do/don't","Backend Otto IQ cannot wire to approved frontend without rewrite","Converge production routes and adapters on frozen five-section IA","Five sections route correctly with section title/list/detail states","14-brand-production-drift.png"
P1-009,P1,Brand,"Otto IQ lacks draft-review-preview-save governance",Open,"Add customer/brand knowledge","Source creates editable draft with evidence, preview and explicit save","Direct form/live memory mutation","Source of truth can change without review","Implement Text/URL/File source, extracted draft, Without/With preview and Save","Cancel leaves saved state unchanged; Save records source and reviewed version","14-brand-production-drift.png"
P1-010,P1,Global Otto,"Global Otto opens unrelated stale Canvas",Open,"Open Otto from Billing and expand","New workspace/Billing-context thread or explicit resume choice","Old Professional Male Model Canvas appears","User may act with hidden wrong context","Display explicit scope and separate page context from conversation identity","Billing invocation never loads unrelated Canvas without explicit selection","18-global-otto-panel.png"
